MONTHS_SINCE_ORIGIN,DONOR_AGE,IN_HOUSE,SES,CLUSTER_CODE,INCOME_GROUP,MOR_HIT_RATE,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,PCT_OWNER_OCCUPIED,PER_CAPITA_INCOME,PCT_ATTRIBUTE1,PCT_ATTRIBUTE2,PCT_ATTRIBUTE3,PCT_ATTRIBUTE4,PEP_STAR,RECENT_STAR_STATUS,FREQUENCY_STATUS_97NK,RECENT_RESPONSE_PROP,RECENT_AVG_GIFT_AMT,RECENT_CARD_RESPONSE_PROP,RECENT_AVG_CARD_GIFT_AMT,RECENT_RESPONSE_COUNT,RECENT_CARD_RESPONSE_COUNT,MONTHS_SINCE_LAST_PROM_RESP,LIFETIME_CARD_PROM,LIFETIME_PROM,LIFETIME_GIFT_AMOUNT,LIFETIME_GIFT_COUNT,LIFETIME_AVG_GIFT_AMT,LIFETIME_GIFT_RANGE,LAST_GIFT_AMT,CARD_PROM_12,NUMBER_PROM_12,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT,FILE_CARD_GIFT,URBANICITY_e,DONOR_GENDER_e,OVERLAY_SOURCE_e,RECENCY_STATUS_96NK_e,DONATION_TYPE
53.0,59.0,0.0,1.0,1.0,5.0,0.0,3100.0,133.0,28.0,18262.0,0.0,20.0,18.0,0.0,1.0,1.0,2.0,0.28600000000000003,13.0,0.2,13.0,6.0,2.0,20.0,26.0,70.0,284.0,21.0,13.52,20.0,10.0,9.0,21.0,18.0,85.0,4.0,4.0,0.0,3.0,4.0,D
137.0,75.0,0.0,1.0,2.0,6.0,1.0,2257.0,485.0,84.0,17885.0,0.0,43.0,28.0,41.0,1.0,10.0,1.0,0.333,8.83,0.444,8.75,6.0,4.0,19.0,42.0,114.0,247.0,38.0,6.5,5.0,10.0,10.0,24.0,19.0,129.0,22.0,4.0,1.0,0.0,0.0,D
5.0,55.97418902587314,0.0,2.0,40.0,2.0,0.0,789.0,413.0,97.0,14123.0,0.0,31.0,16.0,7.0,0.0,0.0,3.0,0.278,5.4,0.222,6.0,5.0,2.0,20.0,15.0,43.0,70.0,12.0,5.83,7.0,5.0,5.0,12.0,18.0,85.0,2.0,3.0,0.0,0.0,0.0,E
89.0,79.0,0.0,1.0,2.0,7.0,0.0,1857.0,594.0,93.0,27547.0,0.0,25.0,9.0,65.0,0.0,0.0,1.0,0.067,16.0,0.0,0.0,1.0,0.0,20.0,18.0,60.0,111.0,7.0,15.86,10.0,16.0,4.0,15.0,20.0,84.0,2.0,4.0,0.0,3.0,0.0,C
29.0,58.06302745203217,0.0,2.0,28.0,3.8763893411201615,0.0,709.0,256.0,75.0,13576.0,0.0,39.0,9.0,57.0,0.0,0.0,3.0,0.15,10.0,0.273,10.0,3.0,3.0,22.0,25.0,59.0,105.0,11.0,9.55,10.0,10.0,6.0,15.0,18.0,80.0,5.0,0.0,1.0,2.0,0.0,D
77.0,56.0,0.0,4.0,10.0,1.0,2.0,550.0,91.0,10.0,10050.0,0.0,19.0,46.0,31.0,1.0,1.0,4.0,0.5,5.0,0.364,5.0,11.0,4.0,8.0,34.0,90.0,154.0,28.0,5.5,7.0,5.0,11.0,25.0,8.0,80.0,7.0,4.0,0.0,0.0,4.0,D
89.0,82.0,0.0,1.0,15.0,4.0,2.0,1024.0,225.0,8.0,16782.0,1.0,22.0,33.0,23.0,0.0,0.0,1.0,0.188,13.33,0.125,10.0,3.0,1.0,17.0,22.0,58.0,100.0,10.0,10.0,10.0,10.0,9.0,22.0,6.0,78.0,2.0,2.0,0.0,1.0,0.0,D
89.0,57.39639188662353,0.0,2.0,38.0,3.5164549975078336,0.0,535.0,192.0,38.0,11878.0,0.0,21.0,19.0,22.0,0.0,0.0,1.0,0.059,15.0,0.0,0.0,1.0,0.0,24.0,16.0,38.0,44.0,7.0,6.29,12.0,15.0,4.0,10.0,24.0,77.0,4.0,3.0,1.0,2.0,0.0,D
125.0,85.0,0.0,2.0,36.0,2.0,0.0,340.0,180.0,67.0,9343.0,0.0,29.0,27.0,46.0,1.0,0.0,1.0,0.063,16.0,0.1,16.0,1.0,1.0,24.0,39.0,89.0,368.0,24.0,15.33,20.0,21.0,7.0,15.0,9.0,119.0,10.0,3.0,0.0,3.0,0.0,B
77.0,69.00950835778714,0.0,2.0,48.0,2.0,0.0,789.0,200.0,81.0,9717.0,0.0,47.0,19.0,55.0,0.0,0.0,1.0,0.579,11.27,0.7,10.57,11.0,7.0,11.0,25.0,78.0,328.0,37.0,8.86,12.0,11.0,8.0,27.0,4.0,77.0,16.0,1.0,0.0,3.0,0.0,C
89.0,64.17991154004964,0.0,2.0,18.0,4.02232779272527,0.0,1821.0,454.0,79.0,17008.0,0.0,24.0,36.0,54.0,1.0,0.0,2.0,0.267,12.5,0.14300000000000002,10.0,4.0,1.0,17.0,23.0,58.0,96.0,13.0,7.38,12.0,10.0,11.0,27.0,4.0,78.0,4.0,2.0,0.0,2.0,0.0,D
113.0,80.0,0.0,2.0,37.0,5.0,2.0,711.0,223.0,97.0,14751.0,0.0,58.0,5.0,86.0,1.0,0.0,1.0,0.25,29.0,0.364,28.25,5.0,4.0,16.0,43.0,108.0,315.0,12.0,26.25,20.0,20.0,11.0,28.0,16.0,109.0,6.0,3.0,1.0,0.0,0.0,B
77.0,81.0,1.0,1.0,13.0,4.0,0.0,2865.0,534.0,92.0,24571.0,0.0,33.0,14.0,52.0,1.0,0.0,2.0,0.35,19.57,0.364,21.0,7.0,4.0,11.0,34.0,93.0,419.0,27.0,15.52,25.0,20.0,9.0,25.0,6.0,80.0,11.0,2.0,0.0,3.0,0.0,B
65.0,32.0,0.0,2.0,5.0,6.0,4.0,1801.0,495.0,79.0,18663.0,0.0,37.0,26.0,31.0,1.0,0.0,1.0,0.333,20.14,0.6,20.0,7.0,6.0,16.0,32.0,90.0,331.0,17.0,19.47,10.0,25.0,11.0,26.0,10.0,73.0,12.0,4.0,1.0,0.0,0.0,B
113.0,82.0,0.0,1.0,34.0,5.0,2.0,1714.0,342.0,77.0,18534.0,0.0,29.0,43.0,57.0,1.0,1.0,2.0,0.1,13.5,0.111,15.0,2.0,1.0,21.0,32.0,87.0,205.08,23.0,8.92,14.92,15.0,7.0,17.0,21.0,100.0,13.0,3.0,0.0,0.0,4.0,C
137.0,79.0,0.0,1.0,14.0,4.863318218061414,0.0,2257.0,695.0,93.0,26427.0,2.0,33.0,34.0,14.0,1.0,2.0,3.0,0.526,5.1,0.7,5.29,10.0,7.0,20.0,51.0,131.0,247.0,52.0,4.75,7.0,5.0,11.0,26.0,20.0,118.0,26.0,2.0,0.0,2.0,3.0,E
101.0,75.0,0.0,2.0,27.0,3.0,3.0,1215.0,296.0,49.0,12319.0,1.0,33.0,46.0,26.0,0.0,0.0,1.0,0.15,40.67,0.091,36.0,3.0,1.0,18.0,31.0,86.0,361.0,16.0,22.56,40.0,36.0,9.0,22.0,18.0,105.0,4.0,0.0,0.0,0.0,0.0,B
65.0,73.0,0.0,3.0,51.0,3.0,1.0,240.0,232.0,77.0,10744.0,0.0,27.0,23.0,31.0,1.0,0.0,4.0,0.476,2.8,0.8,2.75,10.0,8.0,12.0,28.0,64.0,52.0,23.0,2.26,4.0,2.0,10.0,18.0,7.0,69.0,13.0,1.0,0.0,0.0,0.0,E
125.0,67.0,0.0,1.0,2.0,5.280459103812903,0.0,2250.0,539.0,80.0,18081.0,0.0,36.0,34.0,25.0,1.0,3.0,1.0,0.182,10.25,0.273,10.33,4.0,3.0,23.0,45.0,107.0,192.0,25.0,7.68,9.0,10.0,8.0,22.0,23.0,122.0,16.0,4.0,0.0,2.0,0.0,D
77.0,52.0,0.0,1.0,22.0,2.0,0.0,613.0,146.0,2.0,13209.0,0.0,12.0,18.0,15.0,0.0,0.0,1.0,0.063,15.0,0.0,0.0,1.0,0.0,19.0,19.0,49.0,105.0,6.0,17.5,15.0,20.0,7.0,19.0,5.0,66.0,3.0,0.0,1.0,3.0,0.0,C
77.0,71.0,0.0,2.0,46.0,5.0,0.0,580.0,286.0,78.0,12400.0,0.0,29.0,34.0,29.0,1.0,0.0,1.0,0.053,15.0,0.0,0.0,1.0,0.0,18.0,24.0,67.0,92.0,11.0,8.36,12.0,15.0,5.0,16.0,18.0,68.0,4.0,1.0,1.0,3.0,0.0,C
125.0,87.0,0.0,2.0,17.0,5.0,23.0,1568.0,328.0,28.0,17761.0,0.0,26.0,38.0,24.0,1.0,0.0,1.0,0.222,14.0,0.125,12.0,4.0,1.0,15.0,37.0,103.0,214.0,21.0,10.19,18.0,16.0,4.0,16.0,15.0,123.0,7.0,2.0,0.0,0.0,1.0,C
65.0,57.0,0.0,2.0,27.0,5.0,12.0,860.0,392.0,89.0,13088.0,0.0,40.0,39.0,20.0,1.0,1.0,4.0,0.5,19.4,0.455,18.8,10.0,5.0,12.0,36.0,105.0,580.0,34.0,17.06,20.0,21.0,11.0,35.0,4.0,64.0,12.0,0.0,1.0,0.0,4.0,B
65.0,50.0,0.0,2.0,49.0,1.0,0.0,646.0,239.0,79.0,10757.0,0.0,27.0,40.0,31.0,1.0,0.0,4.0,0.409,5.78,0.455,5.8,9.0,5.0,11.0,32.0,85.0,153.0,30.0,5.1,4.0,7.0,10.0,24.0,11.0,64.0,9.0,1.0,1.0,3.0,0.0,D
89.0,53.0,0.0,2.0,28.0,7.0,6.0,586.0,349.0,89.0,15304.0,0.0,32.0,35.0,47.0,1.0,0.0,1.0,0.17600000000000002,10.0,0.375,10.0,3.0,3.0,24.0,27.0,71.0,73.0,10.0,7.3,10.0,15.0,4.0,10.0,24.0,88.0,8.0,0.0,0.0,0.0,0.0,D
29.0,57.0,0.0,2.0,39.0,6.0,6.0,695.0,222.0,67.0,9991.0,24.0,35.0,26.0,12.0,1.0,1.0,4.0,0.5,8.2,0.6,8.83,10.0,6.0,15.0,27.0,68.0,150.0,20.0,7.5,8.0,8.0,11.0,24.0,4.0,63.0,7.0,3.0,0.0,0.0,4.0,E
89.0,54.0,0.0,1.0,14.0,7.0,19.0,2140.0,773.0,97.0,33069.0,0.0,38.0,33.0,24.0,1.0,1.0,4.0,0.529,3.33,0.75,4.0,9.0,6.0,11.0,31.0,83.0,79.0,21.0,3.76,5.0,4.0,12.0,28.0,7.0,82.0,10.0,2.0,0.0,0.0,4.0,E
137.0,66.0,0.0,2.0,46.0,5.0,20.0,385.0,207.0,78.0,12419.0,0.0,25.0,36.0,38.0,1.0,1.0,1.0,0.318,15.29,0.364,15.75,7.0,4.0,16.0,44.0,115.0,530.0,35.0,15.14,23.0,15.0,11.0,31.0,6.0,127.0,16.0,1.0,0.0,0.0,4.0,B
137.0,75.0,0.0,1.0,35.0,5.0,1.0,1133.0,430.0,80.0,26361.0,0.0,32.0,40.0,55.0,1.0,1.0,2.0,0.35,15.43,0.455,16.6,7.0,5.0,17.0,45.0,114.0,342.0,28.0,12.21,15.0,13.0,11.0,28.0,5.0,122.0,17.0,3.0,1.0,0.0,4.0,C
77.0,67.99648898320146,0.0,1.0,23.0,4.0,16.0,1416.0,255.0,72.0,17990.0,0.0,55.0,17.0,63.0,0.0,0.0,3.0,0.333,13.29,0.364,12.0,7.0,4.0,19.0,35.0,96.0,271.0,22.0,12.32,14.0,15.0,11.0,25.0,18.0,75.0,8.0,0.0,1.0,0.0,0.0,D
113.0,63.45684518540245,0.0,1.0,34.0,5.0,10.0,826.0,314.0,64.0,14958.0,0.0,45.0,22.0,43.0,1.0,0.0,4.0,0.263,10.6,0.333,13.0,5.0,3.0,15.0,25.0,67.0,147.0,16.0,9.19,12.0,9.0,4.0,11.0,15.0,105.0,9.0,3.0,1.0,0.0,0.0,E
137.0,65.93894746363817,0.0,2.0,38.0,3.0375058276594467,0.0,1161.0,197.0,36.0,12764.0,0.0,17.0,29.0,71.0,1.0,1.0,3.0,0.294,7.8,0.28600000000000003,7.0,5.0,2.0,19.0,30.0,75.0,126.0,20.0,6.3,7.0,9.0,5.0,12.0,19.0,129.0,11.0,3.0,0.0,2.0,4.0,E
125.0,69.0,0.0,1.0,14.0,5.117162592108565,0.0,1437.0,583.0,97.0,18207.0,0.0,24.0,55.0,6.0,1.0,1.0,3.0,0.318,8.57,0.182,10.0,7.0,2.0,14.0,41.0,108.0,234.0,25.0,9.36,7.0,5.0,11.0,30.0,7.0,121.0,15.0,2.0,1.0,2.0,4.0,E
137.0,66.0,0.0,1.0,14.0,6.0,0.0,3528.0,814.0,96.0,25564.0,0.0,36.0,27.0,28.0,1.0,1.0,4.0,0.28600000000000003,5.83,0.545,5.83,6.0,6.0,20.0,34.0,100.0,265.0,43.0,6.16,7.0,5.0,5.0,19.0,18.0,126.0,25.0,2.0,0.0,3.0,4.0,E
77.0,69.0,0.0,1.0,3.0,6.0,0.0,5817.0,931.0,84.0,91576.0,0.0,27.0,8.0,52.0,1.0,4.0,1.0,0.429,10.56,0.6,11.67,9.0,6.0,11.0,34.0,100.0,315.0,32.0,9.84,19.0,10.0,10.0,27.0,6.0,76.0,15.0,4.0,1.0,3.0,0.0,C
101.0,55.0,0.0,2.0,43.0,4.0,0.0,483.0,198.0,71.0,9290.0,0.0,33.0,33.0,35.0,1.0,5.0,2.0,0.4,14.88,0.364,13.75,8.0,4.0,13.0,37.0,104.0,278.0,24.0,11.58,17.0,15.0,11.0,27.0,9.0,92.0,13.0,1.0,0.0,3.0,0.0,B
77.0,61.27684978463952,0.0,2.0,20.0,4.421710619425731,0.0,1435.0,423.0,82.0,18160.0,0.0,43.0,27.0,42.0,1.0,0.0,1.0,0.238,11.4,0.3,13.33,5.0,3.0,13.0,35.0,88.0,122.0,13.0,9.38,17.0,11.0,11.0,23.0,7.0,69.0,7.0,2.0,1.0,2.0,0.0,B
65.0,49.0,0.0,1.0,14.0,5.0,0.0,1102.0,613.0,90.0,20557.0,0.0,22.0,69.0,5.0,0.0,0.0,1.0,0.063,25.0,0.0,0.0,1.0,0.0,26.0,14.0,36.0,75.0,3.0,25.0,0.0,25.0,4.0,11.0,26.0,56.0,1.0,2.0,1.0,3.0,0.0,B
29.0,47.0,0.0,2.0,29.0,5.0,0.0,692.0,203.0,74.0,14602.0,0.0,44.0,5.0,67.0,1.0,0.0,2.0,0.188,9.0,0.25,10.0,3.0,2.0,18.0,15.0,40.0,38.0,5.0,7.6,10.0,7.0,6.0,15.0,18.0,57.0,2.0,0.0,1.0,0.0,0.0,C
101.0,75.0,0.0,2.0,18.0,2.0,10.0,917.0,462.0,94.0,14229.0,0.0,22.0,24.0,35.0,1.0,0.0,4.0,0.238,4.8,0.3,4.33,5.0,3.0,20.0,27.0,71.0,74.0,14.0,5.29,7.0,5.0,6.0,13.0,20.0,92.0,8.0,2.0,0.0,0.0,0.0,E
77.0,54.0,0.0,2.0,5.0,3.0,2.0,376.0,397.0,72.0,15260.0,0.0,25.0,45.0,35.0,1.0,0.0,2.0,0.19,13.5,0.2,13.0,4.0,2.0,24.0,36.0,94.0,174.0,14.0,12.43,5.0,14.0,11.0,25.0,7.0,73.0,5.0,4.0,0.0,0.0,0.0,C
137.0,40.0,0.0,2.0,17.0,5.0,0.0,889.0,328.0,36.0,13456.0,1.0,25.0,48.0,7.0,1.0,1.0,3.0,0.455,13.9,0.545,14.5,10.0,6.0,15.0,41.0,102.0,224.0,21.0,10.67,22.0,18.0,11.0,29.0,15.0,126.0,9.0,2.0,0.0,0.0,4.0,C
53.0,75.0,0.0,1.0,13.0,4.942835525976899,0.0,2753.0,504.0,77.0,24127.0,0.0,30.0,27.0,35.0,0.0,0.0,3.0,0.158,20.0,0.111,20.0,3.0,1.0,19.0,20.0,50.0,100.0,5.0,20.0,0.0,20.0,6.0,14.0,19.0,53.0,2.0,2.0,0.0,2.0,0.0,B
29.0,38.0,0.0,1.0,24.0,5.0,4.0,1602.0,459.0,70.0,18855.0,2.0,25.0,40.0,27.0,1.0,0.0,2.0,0.421,20.13,0.6,20.17,8.0,6.0,17.0,26.0,78.0,350.0,19.0,18.42,15.0,25.0,11.0,32.0,6.0,53.0,10.0,0.0,0.0,0.0,0.0,B
53.0,45.0,0.0,1.0,11.0,7.0,0.0,3260.0,509.0,79.0,19165.0,11.0,26.0,42.0,17.0,0.0,0.0,1.0,0.063,20.0,0.0,0.0,1.0,0.0,18.0,17.0,45.0,52.0,4.0,13.0,10.0,20.0,6.0,14.0,18.0,52.0,2.0,2.0,0.0,3.0,0.0,D
53.0,81.0,0.0,1.0,13.0,7.9867456495426525,0.0,5863.0,1500.0,85.0,174523.0,0.0,41.0,7.0,75.0,0.0,0.0,1.0,0.067,50.0,0.14300000000000002,50.0,1.0,1.0,24.0,12.0,35.0,150.0,3.0,50.0,0.0,50.0,6.0,13.0,24.0,49.0,1.0,2.0,1.0,2.0,0.0,A
41.0,49.0,0.0,2.0,25.0,1.0,0.0,2167.0,346.0,92.0,27423.0,0.0,17.0,55.0,18.0,0.0,0.0,1.0,0.067,15.0,0.0,0.0,1.0,0.0,15.0,12.0,39.0,49.0,4.0,12.25,5.0,15.0,2.0,10.0,15.0,49.0,1.0,0.0,0.0,3.0,1.0,B
29.0,75.0,0.0,1.0,13.0,4.0,30.0,5970.0,1386.0,94.0,62822.0,0.0,38.0,16.0,69.0,1.0,0.0,3.0,0.316,11.67,0.5,12.0,6.0,5.0,11.0,24.0,63.0,112.0,11.0,10.18,15.0,11.0,11.0,28.0,6.0,45.0,7.0,2.0,0.0,0.0,0.0,C
101.0,50.0,0.0,3.0,30.0,5.0,29.0,675.0,163.0,28.0,7083.0,0.0,37.0,76.0,11.0,1.0,10.0,1.0,0.16699999999999998,8.33,0.125,10.0,3.0,1.0,17.0,34.0,85.0,121.0,16.0,7.56,12.0,10.0,5.0,14.0,17.0,103.0,8.0,0.0,1.0,0.0,0.0,D
137.0,67.0,0.0,1.0,35.0,5.0,4.0,1033.0,427.0,85.0,12145.0,0.0,19.0,23.0,32.0,1.0,5.0,1.0,0.25,12.8,0.364,13.25,5.0,4.0,21.0,46.0,107.0,310.0,32.0,9.69,15.0,14.0,11.0,22.0,21.0,127.0,20.0,3.0,0.0,0.0,0.0,B
125.0,45.0,0.0,1.0,24.0,7.0,5.0,1668.0,648.0,83.0,20187.0,0.0,16.0,82.0,0.0,1.0,0.0,1.0,0.333,14.29,0.4,12.5,7.0,4.0,11.0,37.0,103.0,348.0,26.0,13.38,15.0,20.0,10.0,24.0,5.0,120.0,13.0,0.0,1.0,0.0,0.0,D
29.0,79.0,0.0,1.0,13.0,5.0,23.0,1982.0,786.0,90.0,48843.0,0.0,48.0,11.0,67.0,1.0,0.0,2.0,0.5329999999999999,11.38,0.429,13.0,8.0,3.0,14.0,21.0,55.0,130.0,11.0,11.82,9.0,12.0,11.0,29.0,6.0,33.0,4.0,2.0,1.0,0.0,0.0,D
41.0,53.3499874509461,0.0,3.0,41.0,3.0285768199011094,0.0,417.0,131.0,27.0,6858.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.211,14.25,0.333,12.33,4.0,3.0,19.0,27.0,71.0,104.0,8.0,13.0,15.0,17.0,8.0,20.0,7.0,45.0,6.0,3.0,1.0,2.0,0.0,D
77.0,60.38897324469167,0.0,2.0,27.0,5.0,7.0,860.0,358.0,83.0,14984.0,0.0,35.0,22.0,13.0,1.0,0.0,4.0,0.381,7.25,0.6,7.67,8.0,6.0,16.0,32.0,88.0,194.0,21.0,9.24,13.0,9.0,11.0,25.0,4.0,75.0,12.0,0.0,1.0,0.0,0.0,D
89.0,49.0,0.0,2.0,18.0,5.0,0.0,1519.0,346.0,45.0,14162.0,1.0,24.0,45.0,19.0,1.0,0.0,2.0,0.235,10.75,0.429,12.67,4.0,3.0,15.0,25.0,67.0,92.0,9.0,10.22,11.0,12.0,5.0,14.0,15.0,85.0,6.0,2.0,1.0,3.0,0.0,D
137.0,81.0,0.0,3.0,9.0,4.0,1.0,1032.0,305.0,39.0,18324.0,0.0,33.0,35.0,26.0,1.0,0.0,2.0,0.368,9.0,0.4,8.25,7.0,4.0,17.0,35.0,98.0,214.5,31.0,6.92,12.0,10.0,9.0,25.0,6.0,123.0,12.0,4.0,1.0,0.0,0.0,D
29.0,72.0,0.0,1.0,35.0,5.0,2.0,3461.0,404.0,78.0,17618.0,0.0,41.0,32.0,32.0,0.0,0.0,1.0,0.2,18.33,0.28600000000000003,20.0,3.0,2.0,23.0,17.0,44.0,55.0,3.0,18.33,10.0,25.0,7.0,17.0,23.0,33.0,2.0,3.0,1.0,1.0,0.0,B
89.0,39.0,0.0,1.0,35.0,3.0,1.0,1133.0,615.0,90.0,22163.0,0.0,34.0,42.0,20.0,0.0,0.0,1.0,0.105,15.0,0.125,15.0,2.0,1.0,19.0,25.0,73.0,80.0,6.0,13.33,5.0,15.0,6.0,16.0,19.0,87.0,5.0,3.0,0.0,1.0,0.0,C
17.0,39.0,0.0,1.0,15.0,7.0,12.0,2670.0,394.0,35.0,24896.0,1.0,16.0,39.0,18.0,0.0,0.0,1.0,0.25,35.0,0.4,37.5,3.0,2.0,15.0,14.0,41.0,105.0,3.0,35.0,25.0,30.0,9.0,24.0,15.0,29.0,2.0,2.0,0.0,0.0,2.0,A
137.0,75.0,0.0,1.0,2.0,4.150122326144944,0.0,1368.0,379.0,84.0,23121.0,0.0,38.0,41.0,37.0,1.0,1.0,3.0,0.4,6.75,0.273,7.67,8.0,3.0,16.0,45.0,111.0,161.0,29.0,5.55,6.0,6.0,13.0,31.0,6.0,128.0,15.0,4.0,0.0,2.0,4.0,E
137.0,73.0,0.0,1.0,14.0,6.0,0.0,3556.0,735.0,94.0,34382.0,1.0,37.0,25.0,28.0,1.0,1.0,3.0,0.45,8.67,0.2,9.0,9.0,2.0,11.0,42.0,106.0,294.0,40.0,7.35,9.0,8.0,11.0,25.0,11.0,129.0,18.0,2.0,0.0,3.0,4.0,E
65.0,52.0,0.0,2.0,27.0,4.0,5.0,852.0,426.0,87.0,14762.0,0.0,41.0,54.0,10.0,1.0,0.0,2.0,0.273,19.67,0.364,20.75,6.0,4.0,12.0,31.0,85.0,251.0,13.0,19.31,18.0,20.0,11.0,27.0,7.0,64.0,8.0,0.0,1.0,0.0,0.0,B
113.0,47.0,0.0,3.0,31.0,5.0,0.0,1126.0,243.0,27.0,8614.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.28600000000000003,24.17,0.364,24.0,6.0,4.0,18.0,36.0,98.0,832.0,40.0,20.8,30.0,25.0,11.0,25.0,18.0,110.0,19.0,0.0,1.0,3.0,4.0,B
137.0,73.0,0.0,2.0,18.0,2.0,0.0,839.0,363.0,73.0,15463.0,0.0,22.0,34.0,20.0,1.0,1.0,2.0,0.3,8.83,0.5,9.2,6.0,5.0,11.0,39.0,93.0,234.0,31.0,7.55,11.0,9.0,10.0,26.0,8.0,126.0,19.0,2.0,1.0,0.0,4.0,E
137.0,77.0,0.0,2.0,46.0,2.0,1.0,655.0,258.0,89.0,13780.0,0.0,43.0,12.0,53.0,1.0,4.0,1.0,0.294,16.6,0.556,16.6,5.0,5.0,17.0,33.0,77.0,291.0,15.0,19.4,30.0,12.0,11.0,25.0,17.0,112.0,13.0,1.0,1.0,0.0,0.0,C
